"language","city","totalCount"
"Python","贵阳","0"
"PHP","贵阳","7"
".NET","贵阳","2"
"C#","贵阳","0"
"C++","贵阳","2"
"C","贵阳","2"
"VB","贵阳","0"
"Delphi","贵阳","1"
"Perl","贵阳","0"
"Ruby","贵阳","0"
"Hadoop","贵阳","0"
"Node.js","贵阳","0"
"JavaScript","贵阳","0"
"U3D","贵阳","1"
" COCOS2D-X","贵阳","1"
"Android","贵阳","13"
"iOS","贵阳","10"
"WP","贵阳","0"
"Java","长春","15"
"Python","长春","0"
"PHP","长春","6"
".NET","长春","7"
"C#","长春","2"
"C++","长春","2"
"C","长春","2"
"VB","长春","0"
"Delphi","长春","0"
"Perl","长春","0"
"Ruby","长春","0"
"Hadoop","长春","0"
"Node.js","长春","0"
"JavaScript","长春","0"
"U3D","长春","0"
" COCOS2D-X","长春","0"
"Android","长春","5"
"iOS","长春","6"
"WP","长春","0"
"Java","太原","13"
"Python","太原","0"
"PHP","太原","6"
".NET","太原","4"
"C#","太原","1"
"C++","太原","0"
"C","太原","0"
"VB","太原","0"
"Delphi","太原","0"
"Perl","太原","0"
"Ruby","太原","0"
"Hadoop","太原","0"
"Node.js","太原","0"
"JavaScript","太原","1"
"U3D","太原","0"
" COCOS2D-X","太原","0"
"Android","太原","10"
"iOS","太原","6"
"WP","太原","0"
"Java","嘉兴","13"
"Python","嘉兴","0"
"PHP","嘉兴","1"
".NET","嘉兴","3"
"C#","嘉兴","0"
"C++","嘉兴","1"
"C","嘉兴","1"
"VB","嘉兴","0"
"Delphi","嘉兴","0"
"Perl","嘉兴","0"
"Ruby","嘉兴","0"
"Hadoop","嘉兴","0"
"Node.js","嘉兴","0"
"JavaScript","嘉兴","1"
"U3D","嘉兴","0"
" COCOS2D-X","嘉兴","0"
"Android","嘉兴","2"
"iOS","嘉兴","5"
"WP","嘉兴","0"
"Java","泰安","0"
"Python","泰安","0"
"PHP","泰安","1"
".NET","泰安","0"
"C#","泰安","0"
"C++","泰安","0"
"C","泰安","0"
"VB","泰安","0"
"Delphi","泰安","0"
"Perl","泰安","0"
"Ruby","泰安","0"
"Hadoop","泰安","0"
"Node.js","泰安","0"
"JavaScript","泰安","0"
"U3D","泰安","0"
" COCOS2D-X","泰安","0"
"Android","泰安","0"
"iOS","泰安","0"
"WP","泰安","0"
"Java","昆山","2"
"Python","昆山","0"
"PHP","昆山","1"
".NET","昆山","7"
"C#","昆山","0"
"C++","昆山","1"
"C","昆山","1"
"VB","昆山","0"
"Delphi","昆山","0"
"Perl","昆山","0"
"Ruby","昆山","0"
"Hadoop","昆山","0"
"Node.js","昆山","0"
"JavaScript","昆山","0"
"U3D","昆山","0"
" COCOS2D-X","昆山","0"
"Android","昆山","3"
"iOS","昆山","2"
"WP","昆山","0"
"Java","烟台","22"
"Python","烟台","1"
"PHP","烟台","13"
".NET","烟台","3"
"C#","烟台","2"
"C++","烟台","4"
"C","烟台","4"
"VB","烟台","0"
"Delphi","烟台","0"
"Perl","烟台","0"
"Ruby","烟台","0"
"Hadoop","烟台","0"
"Node.js","烟台","0"
"JavaScript","烟台","1"
"U3D","烟台","0"
" COCOS2D-X","烟台","0"
"Android","烟台","10"
"iOS","烟台","10"
"WP","烟台","0"
"Java","兰州","6"
"Python","兰州","0"
"PHP","兰州","0"
".NET","兰州","1"
"C#","兰州","0"
"C++","兰州","1"
"C","兰州","1"
"VB","兰州","0"
"Delphi","兰州","0"
"Perl","兰州","0"
"Ruby","兰州","0"
"Hadoop","兰州","0"
"Node.js","兰州","0"
"JavaScript","兰州","0"
"U3D","兰州","0"
" COCOS2D-X","兰州","0"
"Android","兰州","3"
"iOS","兰州","2"
"WP","兰州","0"
"Java","泉州","5"
"Python","泉州","0"
"PHP","泉州","10"
".NET","泉州","9"
"C#","泉州","1"
"C++","泉州","0"
"C","泉州","0"
"VB","泉州","0"
"Delphi","泉州","0"
"Perl","泉州","0"
"Ruby","泉州","0"
"Hadoop","泉州","0"
"Node.js","泉州","0"
"JavaScript","泉州","0"
"U3D","泉州","0"
" COCOS2D-X","泉州","0"
"Android","泉州","7"
"iOS","泉州","7"
"WP","泉州","0"
