"positionId","positionName","companyId","companyShortName","positionFirstType","industryField","education","workYear","city","positionAdvantage","createTime","salary","leaderName","companyName","companySize","companyLogo","financeStage","jobNature","positionType","companyLabelList001","companyLabelList002","companyLabelList003","companyLabelList004","score","haveDeliver","adWord","randomScore","countAdjusted","calcScore","orderBy","showOrder","adjustScore","relScore","formatCreateTime","imstate","createTimeSort","positonTypesMap","hrScore","totalCount","searchScore","language"
"702300","C++ SDK开发","356","北京捷通华声语音技术有限公司","技术","移动互联网 · 数据服务","本科","1-3年","北京","绩效工资多 公司前景好 半年调薪","2015-11-13 09:43:13","12k以上","暂没有填写","捷通华声","150-500人","image1/M00/15/99/CgYXBlUKqGWAEiHsAABgvyF4n6Y615.jpg","成熟型(C轮)","全职","后端开发","股票期权","半年调薪","绩效奖金多","人工智能","968","False","0","0","False","False","98","1432788167305","0","727","1天前发布","null","1447378993000","null","143","0","0","C++"
"1072816","C++开发工程师 （windows，跨平台）","35630","北京升鑫网络科技有限公司","技术","数据服务","大专","1-3年","北京","高成长型,发展空间大,优秀的团队，技术挑战","2015-11-13 09:42:53","10k-20k","张福","青藤云安全","15-50人","image1/M00/1C/CD/Cgo8PFUnRoaABHOIAACAkPVErk8851.png","初创型(天使轮)","全职","后端开发","节日礼物","岗位晋升","扁平管理","五险一金","1057","False","0","0","False","False","103","0","80","756","1天前发布","null","1447378973000","null","118","0","0","C++"
"750120","高级C/C++开发工程师","35630","北京升鑫网络科技有限公司","技术","数据服务","本科","5-10年","北京","高成长型,发展空间大,优秀的团队，技术挑战","2015-11-13 09:42:49","15k-25k","张福","青藤云安全","15-50人","image1/M00/1C/CD/Cgo8PFUnRoaABHOIAACAkPVErk8851.png","初创型(天使轮)","全职","后端开发","节日礼物","岗位晋升","扁平管理","五险一金","1007","False","0","0","False","False","103","0","0","786","1天前发布","null","1447378969000","null","118","0","0","C++"
"621783","c++研发工程师","2262","北京智明星通软件科技有限公司","技术","移动互联网 · 游戏","本科","3-5年","北京","五险一金 带薪年假 绩效奖金多","2015-11-13 09:38:39","20k-30k","唐彬森","智明星通","500-2000人","image1/M00/00/07/CgYXBlTUWAmAJTdUAACu1Tl7CV0436.jpg","上市公司","全职","后端开发","年终分红","绩效奖金","五险一金","带薪年假","1194","False","0","0","False","False","105","1433381713830","0","980","1天前发布","null","1447378719000","null","109","0","0","C++"
"947688","OpenGL工程师（C,C++）","61130","北京国承万通信息科技有限公司","技术","移动互联网 · 硬件","本科","不限","北京","五险一金，补充医疗，带薪年假，员工福利","2015-11-13 09:38:21","10k以上","暂没有填写","国承万通","50-150人","image1/M00/1A/60/CgYXBlUbs_mAe_7YAAAtVV6pviY808.jpg","成长型(A轮)","全职","后端开发","节日礼物","技能培训","绩效奖金","年度旅游","932","False","0","0","False","False","95","0","0","755","1天前发布","null","1447378701000","null","82","0","0","C++"
"741843","C++游戏客户端开发","61130","北京国承万通信息科技有限公司","技术","移动互联网 · 硬件","本科","不限","北京","五险一金、补充医疗、员工福利、带薪年假","2015-11-13 09:38:19","10k以上","暂没有填写","国承万通","50-150人","image1/M00/1A/60/CgYXBlUbs_mAe_7YAAAtVV6pviY808.jpg","成长型(A轮)","全职","后端开发","节日礼物","技能培训","绩效奖金","年度旅游","777","False","0","0","False","False","95","1433317898895","0","600","1天前发布","null","1447378699000","null","82","0","0","C++"
"694681","C++开发SDK","356","北京捷通华声语音技术有限公司","技术","移动互联网 · 数据服务","本科","1-3年","北京","绩效工资多 公司前景好 半年调薪","2015-11-13 09:37:48","12k以上","暂没有填写","捷通华声","150-500人","image1/M00/15/99/CgYXBlUKqGWAEiHsAABgvyF4n6Y615.jpg","成熟型(C轮)","全职","后端开发","股票期权","半年调薪","绩效奖金多","人工智能","968","False","0","0","False","False","98","1432620932559","0","727","1天前发布","null","1447378668000","null","143","0","0","C++"
"1054458","C++研发工程师","2262","北京智明星通软件科技有限公司","技术","移动互联网 · 游戏","本科","1-3年","北京","五险一金 绩效奖金多","2015-11-13 09:37:45","10k-20k","唐彬森","智明星通","500-2000人","image1/M00/00/07/CgYXBlTUWAmAJTdUAACu1Tl7CV0436.jpg","上市公司","全职","后端开发","年终分红","绩效奖金","五险一金","带薪年假","1274","False","0","0","False","False","105","0","80","980","1天前发布","null","1447378665000","null","109","0","0","C++"
"1154232","中高级 C++开发工程师","3866","北京联想利泰软件有限公司","技术","移动互联网 · 招聘","学历不限","3-5年","北京","技术大牛 互联网产品 五险一金 带薪年假","2015-11-13 09:32:07","10k-15k","韩振江","联想利泰","500-2000人","image1/M00/00/09/CgYXBlTUWBSAPwjPAABvag26MA4166.png","初创型(未融资)","全职","后端开发","节日礼物","带薪年假","岗位晋升","领导好","920","False","0","0","False","False","100","0","0","679","1天前发布","null","1447378327000","null","141","0","0","C++"
"915295","C++——电科院","3866","北京联想利泰软件有限公司","技术","移动互联网 · 招聘","本科","1-3年","北京","工作氛围好，津贴补助，交通便利","2015-11-13 09:30:27","12k-15k","韩振江","联想利泰","500-2000人","image1/M00/00/09/CgYXBlTUWBSAPwjPAABvag26MA4166.png","初创型(未融资)","全职","后端开发","节日礼物","带薪年假","岗位晋升","领导好","855","False","0","0","False","False","100","0","0","679","1天前发布","null","1447378227000","null","76","0","0","C++"
"1257087","C++软件工程师","67847","北京合力思腾科技股份有限公司","技术","移动互联网 · 硬件","大专","1-3年","北京","弹性工作制 定期专业培训","2015-11-13 09:26:28","9k-13k","暂没有填写","合力思腾","150-500人","image1/M00/23/E1/Cgo8PFVJ2PeAUpBqAABmbQ9Yu2E315.jpg","成熟型(D轮及以上)","全职","后端开发","技能培训","年底双薪","节日礼物","绩效奖金","914","False","0","0","False","False","100","0","0","809","1天前发布","null","1447377988000","null","5","0","0","C++"
"698250","C++","71939","北京优诺信创科技有限公司","技术","其他","本科","不限","北京","高精尖人才聚集地。","2015-11-13 09:25:06","5k-8k","暂没有填写","优诺科技","15-50人","image1/M00/28/C6/CgYXBlViu4eAHLMYAACQ9_HOmKc670.png","初创型(未融资)","全职","后端开发","节日礼物","年底双薪","带薪年假","绩效奖金","1107","False","0","0","False","False","100","1432877614741","0","1000","1天前发布","null","1447377906000","null","7","0","0","C++"
"1202300","C++高级软件工程师","36653","北京四维益友信息技术有限公司","技术","企业服务 · 信息安全","本科","3-5年","北京","浮动奖金 团队氛围轻松 各种福利","2015-11-13 09:19:08","10k-20k","暂没有填写","四维益友","150-500人","images/logo_default.png","初创型(未融资)","全职","后端开发","年底双薪","节日礼物","技能培训","绩效奖金","976","False","0","0","False","False","90","0","0","744","1天前发布","null","1447377548000","null","142","0","0","C++"
"660265","C++","69625","北京亚控科技发展有限公司","技术","移动互联网","本科","1-3年","北京","五险一金、绩效奖金、定期体检、节日礼物","2015-11-13 08:54:20","8k-12k","林伟","亚控科技","150-500人","image1/M00/26/18/Cgo8PFVT_bOAXf7QAAC3DJEw-pg619.jpg","成长型(不需要融资)","全职","后端开发","节日礼物","绩效奖金","年度旅游","定期体检","1120","False","0","0","False","False","98","1432776698748","0","1000","1天前发布","null","1447376060000","null","22","0","0","C++"
"1223875","软件开发C++","104265","北京清大科艺文化创意有限公司","技术","广告营销","大专","1-3年","北京","五险一金、绩效奖金、餐补、员工旅游","2015-11-13 08:52:07","15k-20k","暂没有填写","北京清大科艺文化创意有限公司","50-150人","image2/M00/12/60/CgqLKVY4DeGAeKdhAAAOkh6oV80826.png?cc=0.4196393950842321","成长型(B轮)","全职","后端开发","绩效奖金","岗位晋升","年度旅游","领导好","997","False","0","0","False","False","108","0","0","778","1天前发布","null","1447375927000","null","111","0","0","C++"
"890178","C/C++开发工程师","35630","北京升鑫网络科技有限公司","技术","数据服务","本科","1-3年","北京","高成长型,发展空间大,优秀的团队，技术挑战","2015-11-13 09:42:46","12k-22k","张福","青藤云安全","15-50人","image1/M00/1C/CD/Cgo8PFUnRoaABHOIAACAkPVErk8851.png","初创型(天使轮)","全职","后端开发","节日礼物","岗位晋升","扁平管理","五险一金","1056","False","0","0","False","False","103","0","0","835","1天前发布","null","1447378966000","null","118","0","0","C++"
"550735","C++软件算法工程师","61130","北京国承万通信息科技有限公司","技术","移动互联网 · 硬件","本科","5-10年","北京","五险一金、带薪年假、弹性工作、员工旅游","2015-11-13 09:37:52","8k以上","暂没有填写","国承万通","50-150人","image1/M00/1A/60/CgYXBlUbs_mAe_7YAAAtVV6pviY808.jpg","成长型(A轮)","全职","后端开发","节日礼物","技能培训","绩效奖金","年度旅游","809","False","0","0","False","False","95","1433317953814","0","632","1天前发布","null","1447378672000","null","82","0","0","C++"
"855207","C++","61130","北京国承万通信息科技有限公司","技术","移动互联网 · 硬件","本科","1-3年","北京","五险一金、补充医疗、员工旅游、带薪年假","2015-11-13 09:37:46","10k以上","暂没有填写","国承万通","50-150人","image1/M00/1A/60/CgYXBlUbs_mAe_7YAAAtVV6pviY808.jpg","成长型(A轮)","全职","后端开发","节日礼物","技能培训","绩效奖金","年度旅游","1177","False","0","0","False","False","95","0","0","1000","1天前发布","null","1447378666000","null","82","0","0","C++"
"1180257","大数据挖掘工程师（C++、JAVA）","356","北京捷通华声语音技术有限公司","技术","移动互联网 · 数据服务","本科","不限","北京","五险一金，绩效奖金多","2015-11-13 09:37:43","15k以上","暂没有填写","捷通华声","150-500人","image1/M00/15/99/CgYXBlUKqGWAEiHsAABgvyF4n6Y615.jpg","成熟型(C轮)","全职","后端开发","股票期权","半年调薪","绩效奖金多","人工智能","722","False","0","0","False","False","98","0","0","481","1天前发布","null","1447378663000","null","143","0","0","C++"
"853345","C++开发工程师（引擎开发）","356","北京捷通华声语音技术有限公司","技术","移动互联网 · 数据服务","本科","1-3年","北京","绩效工资多 公司前景好 半年调薪","2015-11-13 09:37:21","12k以上","暂没有填写","捷通华声","150-500人","image1/M00/15/99/CgYXBlUKqGWAEiHsAABgvyF4n6Y615.jpg","成熟型(C轮)","全职","后端开发","股票期权","半年调薪","绩效奖金多","人工智能","1192","False","0","0","False","False","98","0","0","951","1天前发布","null","1447378641000","null","143","0","0","C++"
"1152919","主机存储系统开发工程师--C++方向","3866","北京联想利泰软件有限公司","技术","移动互联网 · 招聘","大专","3-5年","北京","电信云计算工作机会","2015-11-13 09:01:03","10k-18k","韩振江","联想利泰","500-2000人","image1/M00/00/09/CgYXBlTUWBSAPwjPAABvag26MA4166.png","初创型(未融资)","全职","后端开发","节日礼物","带薪年假","岗位晋升","领导好","746","False","0","0","False","False","100","0","0","534","1天前发布","null","1447376463000","null","112","0","0","C++"
